,tconst,title,genre1,numVotes,startYear,runtimeMinutes,averageRating,url,pays_prod,sypnosis,reco1,reco2,reco3,reco4,trailer_embed_url,complete_movie_embed_url
11,tt5005684,"Chanda, une mère indienne",Drama,6420,2015.0,100.0,8.3,https://m.media-amazon.com/images/M/MV5BYTM3ZDg0ODItMTQxNy00NDRmLWJlOTMtZTZhNThmOTRiY2YyXkEyXkFqcGdeQXVyODE5NzE3OTE@.jpg,['India'],A story about a single woman (a Mom) and dreams on her Daughter,tt2041533,tt0191043,tt7596784,tt0118849,https://www.youtube.com/embed/DPJVxclmYnE,https://Trailers.to/player/embed/imdb/tt5005684
12,tt0476735,Mon père et mon fils,Drama,83599,2005.0,112.0,8.2,https://m.media-amazon.com/images/M/MV5BNjAzMzEwYzctNjc1MC00Nzg5LWFmMGItMTgzYmMyNTY2OTQ4XkEyXkFqcGdeQXVyNjU0OTQ0OTY@.jpg,['Turkey'],The family of a left-wing journalist is torn apart after the military coup of Turkey in 1980,tt2543472,tt2041533,tt7596784,tt5005684,https://www.youtube.com/embed/KTmrUXNxwWI,https://Trailers.to/player/embed/imdb/tt0476735
13,tt0191043,La couleur du paradis,Drama,16779,1999.0,90.0,8.2,https://m.media-amazon.com/images/M/MV5BYzA2MTZjZDMtMTcxNC00M2Y3LWE1MmMtZWQ2MmFhYzQwNTEyXkEyXkFqcGdeQXVyNjc3MjQzNTI@.jpg,['Iran'],"The story of Mohammed, a blind Iranian boy and his father, Hashem, who is always oscillating between accepting his son as he is and abandoning him, as he represents a burden for him, after the loss of his wife",tt0295294,tt0093342,tt0118849,tt5005684,https://www.youtube.com/embed/3_RvGYkUhEk,https://Trailers.to/player/embed/imdb/tt0191043
14,tt2461906,Mon enfant,Documentary,579,2013.0,83.0,8.2,https://m.media-amazon.com/images/M/MV5BZmY0ZWE2MTYtZDI4OS00M2JmLTk5NmMtZGNmYWJhYWY4N2NhXkEyXkFqcGdeQXVyNjA5OTY3OTM@.jpg,['Turkey'],"What happens when your child comes out to you? In this feature documentary, parents of lesbian, gay, bisexual, trans-gender individuals in Turkey intimately share their experiences with the viewer, as they redefine what it means to be parents, family, and activists in this conservative, homophobic, and trans-phobic society.::Anonymous']",tt2234537,tt3246158,tt1589410,tt3115910,,https://Trailers.to/player/embed/imdb/tt2461906
15,tt0093779,Princess Bride,Adventure,411130,1987.0,98.0,8.1,https://m.media-amazon.com/images/M/MV5BMGM4M2Q5N2MtNThkZS00NTc1LTk1NTItNWEyZjJjNDRmNDk5XkEyXkFqcGdeQXVyMjA0MDQ0Mjc@.jpg,"['United Kingdom', 'United States']","While homesick in bed, a young boy's grandfather reads him the story of a farmboy-turned-pirate who encounters numerous obstacles, enemies and allies in his quest to be reunited with his true love.",tt0032138,tt0089218,tt0486655,tt0304141,https://www.youtube.com/embed/fE-8EWYAVG8,https://Trailers.to/player/embed/imdb/tt0093779
16,tt1028532,Hatchi,Biography,268568,2009.0,93.0,8.1,https://m.media-amazon.com/images/M/MV5BNzE4NDg5OWMtMzg3NC00ZDRjLTllMDMtZTRjNWZmNjBmMGZlXkEyXkFqcGdeQXVyMTMxODk2OTU@.jpg,"['United Kingdom', 'United States']",A college professor bonds with an abandoned dog he takes into his home,tt0308644,tt0132477,tt2880472,tt3606888,https://www.youtube.com/embed/Y6U7mAnPtw4,https://Trailers.to/player/embed/imdb/tt1028532
17,tt0093342,Où est la maison de mon ami?,Drama,13049,1987.0,83.0,8.1,https://m.media-amazon.com/images/M/MV5BZDRhMGY4MzYtMTU3Mi00ZmE1LTg2ZjgtZTg3YzFmNjY0MGM0XkEyXkFqcGdeQXVyMTMxODk2OTU@.jpg,['Iran'],"8 year old Ahmed has mistakenly taken his friend Mohammad's notebook. He wants to return it, or else his friend will be expelled from school. Determinedly, the conscientious boy sets out to find Mohammad's home in the neighbouring village.",tt0191043,tt0295294,tt0113847,tt0118849,https://www.youtube.com/embed/Re4yKqfsJx0,https://Trailers.to/player/embed/imdb/tt0093342
18,tt0018742,Le caméraman,Comedy,11351,1928.0,76.0,8.1,https://m.media-amazon.com/images/M/MV5BNjYxMzBkYzUtZTQ5Yi00YTkxLTk5NjAtZWQxODk1YWE3YzBhXkEyXkFqcGdeQXVyMDI2NDg0NQ@@.jpg,['United States'],"Hopelessly in love with a woman working at MGM Studios, a clumsy man attempts to become a motion picture cameraman to be close to the object of his desire",tt0058022,tt0012349,tt0039628,tt0015841,https://www.youtube.com/embed/XFBqfhknYnQ,https://Trailers.to/player/embed/imdb/tt0018742
19,tt0093132,Hachiko: L'Histoire Vraie D'Un Chien Fidèle,Drama,5051,1987.0,107.0,8.1,https://m.media-amazon.com/images/M/MV5BN2RkM2I2MDQtYWFiNy00NzA1LTkyOGItYTU1MWQxYzkwODQ4XkEyXkFqcGdeQXVyNjYyMTYxMzk@.jpg,['Japan'],"The true story about a dog's loyalty to its master, even after his death.""]",tt0295294,tt0113847,tt0064541,tt0191043,https://www.youtube.com/embed/JIbkRGef8kE,https://Trailers.to/player/embed/imdb/tt0093132
20,tt0058022,Soyez les bienvenus,Comedy,2787,1964.0,74.0,8.1,https://m.media-amazon.com/images/M/MV5BMjkwOTBlNGQtNDkwMS00NTNlLWFkNzktYjU0ODY1MTYzYTkzXkEyXkFqcGdeQXVyMzU0NzkwMDg@.jpg,['Soviet Union'],A satirical comedy about the excessive restrictions that children face during their vacation in a Young Pioneer camp.'],tt0170819,tt0053134,tt0018742,tt0102629,,https://Trailers.to/player/embed/imdb/tt0058022
