,tconst,title,genre1,numVotes,startYear,runtimeMinutes,averageRating,url,pays_prod,synopsis,reco1,reco2,reco3,reco4,trailer_embed_url,complete_movie_embed_url
57,tt2488496,Star Wars: Le Réveil de la Force,Action,888920.0,2015.0,138.0,7.8,https://m.media-amazon.com/images/M/MV5BOTAzODEzNDAzMl5BMl5BanBnXkFtZTgwMDU1MTgzNzE@.jpg,['United States'],"As a new threat to the galaxy rises, Rey, a desert scavenger, and Finn, an ex-stormtrooper, must join Han Solo and Chewbacca to search for the one hope of restoring peace",tt3748528,tt3447364,tt1843866,tt1877832,https://www.youtube.com/embed/WZ9_tUlZQg0,https://Trailers.to/player/embed/imdb/tt2488496
58,tt0268978,Un homme d'exception,Biography,886047.0,2001.0,135.0,8.2,https://m.media-amazon.com/images/M/MV5BMzcwYWFkYzktZjAzNC00OGY1LWI4YTgtNzc5MzVjMDVmNjY0XkEyXkFqcGdeQXVyMTQxNzMzNDI@.jpg,['United States'],"After John Nash, a brilliant but asocial mathematician, accepts secret work in cryptography, his life takes a turn for the nightmarish",tt0264464,tt0369702,tt0395169,tt0352248,https://www.youtube.com/embed/WFJgUm7iOKw,https://Trailers.to/player/embed/imdb/tt0268978
59,tt1392170,Hunger Games,Action,876968.0,2012.0,142.0,7.2,https://m.media-amazon.com/images/M/MV5BMjA4NDg3NzYxMF5BMl5BanBnXkFtZTcwNTgyNzkyNw@@.jpg,['United States'],Katniss Everdeen voluntarily takes her younger sister's place in the Hunger Games: a televised competition in which two teenagers from each of the twelve Districts of Panem are chosen at random to fight to the death.,tt1568911,tt1809398,tt1285241,tt2395427,https://www.youtube.com/embed/cC6rtOXgn8M,https://Trailers.to/player/embed/imdb/tt1392170
60,tt0198781,Monstres & Cie,Adventure,855810.0,2001.0,92.0,8.1,https://m.media-amazon.com/images/M/MV5BMTY1NTI0ODUyOF5BMl5BanBnXkFtZTgwNTEyNjQ0MDE@.jpg,['United States'],"In order to power the city, monsters have to scare children so that they scream. However, the children are toxic to the monsters, and after a child gets through, two monsters realize things may not be what they think",tt0266543,tt0126029,tt0120363,tt0379557,https://www.youtube.com/embed/nhVD2nlIqQQ,https://Trailers.to/player/embed/imdb/tt0198781
61,tt1010048,Slumdog Millionaire,Drama,820527.0,2008.0,120.0,8.0,https://m.media-amazon.com/images/M/MV5BZmNjZWI3NzktYWI1Mi00OTAyLWJkNTYtMzUwYTFlZDA0Y2UwXkEyXkFqcGdeQXVyNjU0OTQ0OTY@.jpg,"['United Kingdom', 'United States']","A Mumbai teenager reflects on his life after being accused of cheating on the Indian version of ""Who Wants to be a Millionaire?""",tt1360860,tt1205489,tt1032846,tt1069238,https://www.youtube.com/embed/AIzbwV7on6Q,https://Trailers.to/player/embed/imdb/tt1010048
62,tt0208092,Snatch - Tu braques ou tu raques,Comedy,816041.0,2000.0,104.0,8.3,https://m.media-amazon.com/images/M/MV5BMTA2NDYxOGYtYjU1Mi00Y2QzLTgxMTQtMWI1MGI0ZGQ5MmU4XkEyXkFqcGdeQXVyNDk3NzU2MTQ@.jpg,"['United Kingdom', 'United States']","Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers and supposedly Jewish jewelers fight to track down a priceless stolen diamond",tt0120382,tt0211915,tt0118715,tt0109424,https://www.youtube.com/embed/11ptis6I2Zk,https://Trailers.to/player/embed/imdb/tt0208092
63,tt1201607,Harry Potter et les Reliques de la Mort 2ème partie,Adventure,808666.0,2011.0,130.0,8.1,https://m.media-amazon.com/images/M/MV5BMGVmMWNiMDktYjQ0Mi00MWIxLTk0N2UtN2ZlYTdkN2IzNDNlXkEyXkFqcGdeQXVyODE5NzE3OTE@.jpg,"['United Kingdom', 'United States']","Harry, Ron, and Hermione search for Voldemort's remaining Horcruxes in their effort to destroy the Dark Lord as the final battle rages on at Hogwarts.",tt2576852,tt0454876,tt4285496,tt3322420,https://www.youtube.com/embed/KHBCzAFXUok,https://Trailers.to/player/embed/imdb/tt1201607
64,tt1675434,Intouchables,Biography,802475.0,2011.0,112.0,8.5,https://m.media-amazon.com/images/M/MV5BMTYxNDA3MDQwNl5BMl5BanBnXkFtZTcwNTU4Mzc1Nw@@.jpg,['France'],"After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver",tt1424432,tt2375605,tt1152758,tt1313104,https://www.youtube.com/embed/0RqDiYnFxTk,https://Trailers.to/player/embed/imdb/tt1675434
65,tt3659388,Seul sur Mars,Adventure,801148.0,2015.0,144.0,8.0,https://m.media-amazon.com/images/M/MV5BMTc2MTQ3MDA1Nl5BMl5BanBnXkFtZTgwODA3OTI4NjE@.jpg,"['United Kingdom', 'United States', 'Hungary', 'Jordan']","An astronaut becomes stranded on Mars after his team assume him dead, and must rely on his ingenuity to find a way to signal to Earth that he is alive and can survive until a potential rescue",tt2576852,tt3322420,tt1535109,tt1201607,https://www.youtube.com/embed/lcyfDRYKDJM,https://Trailers.to/player/embed/imdb/tt3659388
66,tt0180093,Requiem for a Dream,Drama,799714.0,2000.0,102.0,8.3,https://m.media-amazon.com/images/M/MV5BOTdiNzJlOWUtNWMwNS00NmFlLWI0YTEtZmI3YjIzZWUyY2Y3XkEyXkFqcGdeQXVyNjU0OTQ0OTY@.jpg,['United States'],The drug-induced utopias of four Coney Island people are shattered when their addictions run deep,tt0118694,tt0338013,tt0167404,tt0154420,https://www.youtube.com/embed/lgo3Hb5vWLE,https://Trailers.to/player/embed/imdb/tt0180093
