,tconst,title,genre1,numVotes,startYear,runtimeMinutes,averageRating,url,pays_prod,sypnosis,reco1,reco2,reco3,reco4,trailer_embed_url,complete_movie_embed_url
73,tt0085407,Dead Zone,Drama,66966,1983.0,103.0,7.2,https://m.media-amazon.com/images/M/MV5BMDk2ZGVkY2UtZGE0MS00NTY1LThiZjYtYjQxMTAwMjM5M2VlXkEyXkFqcGdeQXVyNTI4MjkwNjA@.jpg,"['United States', 'Canada']",A man awakens from a coma to discover he has a psychic ability,tt0089885,tt0080516,tt0084777,tt0087363,https://www.youtube.com/embed/ZIQUbE8yHfw,https://Trailers.to/player/embed/imdb/tt0085407
74,tt0113409,L'antre de la folie,Drama,66030,1995.0,95.0,7.2,https://m.media-amazon.com/images/M/MV5BYjNkMWVkYTUtYzUwZi00ZWI1LTg3MzktZjVkNDQxZjFhOTY1XkEyXkFqcGdeQXVyMTQxNzMzNDI@.jpg,['United States'],An insurance investigator begins discovering that the impact a horror writer's books have on his fans is more than inspirational.,tt0178868,tt0123755,tt0100814,tt0109592,https://www.youtube.com/embed/kWDlF3XzcAk,https://Trailers.to/player/embed/imdb/tt0113409
75,tt0089885,Re-Animator,Comedy,61061,1985.0,104.0,7.2,https://m.media-amazon.com/images/M/MV5BNDRjNjRlNmYtZGVkOS00ODA1LWFmMTEtZmY1MWY5ZGM5OWUxXkEyXkFqcGdeQXVyMTQxNzMzNDI@.jpg,['United States'],"After an odd new medical student arrives on campus, a dedicated local and his girlfriend become involved in bizarre experiments centering around the re-animation of dead tissue",tt0085407,tt0089175,tt0087363,tt0088993,https://www.youtube.com/embed/wLJ8Z3PDEGU,https://Trailers.to/player/embed/imdb/tt0089885
76,tt0365376,2 soeurs,Drama,59984,2003.0,114.0,7.2,https://m.media-amazon.com/images/M/MV5BMDMyNDE0ZmQtZTVhZC00M2Q1LTljNmUtYjFiNzljNGNjOTA3XkEyXkFqcGdeQXVyMTQxNzMzNDI@.jpg,['South Korea'],A family is haunted by the tragedies of deaths within the family,tt0235198,tt0298130,tt0408236,tt0184503,https://www.youtube.com/embed/anF5XiN8QY8,https://Trailers.to/player/embed/imdb/tt0365376
77,tt0080516,L'enfant du diable,Horror,32997,1980.0,107.0,7.2,https://m.media-amazon.com/images/M/MV5BODAwYjJhNTctYzA3Ny00YTYxLWE3YmEtM2FjNDdlNWJmMmU5XkEyXkFqcGdeQXVyMTQxNzMzNDI@.jpg,['Canada'],"After the death of his wife and daughter in a car crash, a music professor staying at a long-vacant Seattle mansion is dragged into a decades-old mystery by an inexplicable presence in the mansion's attic.",tt0085407,tt0089885,tt0087363,tt0084777,https://www.youtube.com/embed/kqOYI4TeGtA,https://Trailers.to/player/embed/imdb/tt0080516
78,tt11948256,Lift,Drama,2574,2021.0,134.0,7.2,https://m.media-amazon.com/images/M/MV5BM2M3NjJkYWMtMGY4ZS00Njc3LTg0OGYtMDhkMmE5ZGM5OTVkXkEyXkFqcGdeQXVyODEyNjEwMDk@.jpg,['India'],A usual working day turns unusual for Guru and Harini when they get trapped in their haunted office. A patterned game unlocks a mystery and a lift is their only way out.'],tt1396484,tt3065204,tt7784604,tt2494362,,https://Trailers.to/player/embed/imdb/tt11948256
79,tt0298130,Le Cercle - The Ring,Horror,335454,2002.0,115.0,7.1,https://m.media-amazon.com/images/M/MV5BNDA2NTg2NjE4Ml5BMl5BanBnXkFtZTYwMjYxMDg5.jpg,['United States'],A journalist must investigate a mysterious videotape which seems to cause the death of anyone one week to the day after they view it,tt0365376,tt0235198,tt0116365,tt1228987,https://www.youtube.com/embed/ymPUAsPsTwg,https://Trailers.to/player/embed/imdb/tt0298130
80,tt0884328,The Mist,Horror,293249,2007.0,126.0,7.1,https://m.media-amazon.com/images/M/MV5BMTU2NjQyNDY1Ml5BMl5BanBnXkFtZTcwMTk1MDU1MQ@@.jpg,['United States'],"A freak storm unleashes a species of bloodthirsty creatures on a small town, where a small band of citizens hole up in a supermarket and fight for their lives",tt0762073,tt1228987,tt0298130,tt2494362,https://www.youtube.com/embed/LhCKXJNGzN8,https://Trailers.to/player/embed/imdb/tt0884328
81,tt8772262,Midsommar,Drama,262524,2019.0,148.0,7.1,https://m.media-amazon.com/images/M/MV5BMzQxNzQzOTQwM15BMl5BanBnXkFtZTgwMDQ2NTcwODM@.jpg,"['United States', 'Sweden']",A couple travels to Scandinavia to visit a rural hometown's fabled Swedish mid-summer festival. What begins as an idyllic retreat quickly devolves into an increasingly violent and bizarre competition at the hands of a pagan cult.,tt1632547,tt5606664,tt11948256,tt2494362,https://www.youtube.com/embed/qQ3qxTIsOhQ,https://Trailers.to/player/embed/imdb/tt8772262
82,tt0120611,Blade,Action,258905,1998.0,120.0,7.1,https://m.media-amazon.com/images/M/MV5BOTk2NDNjZWQtMGY0Mi00YTY2LWE5MzctMGRhZmNlYzljYTg5XkEyXkFqcGdeQXVyMTAyNjg4NjE0.jpg,['United States'],"A half-vampire, half-mortal man becomes a protector of the mortal race, while slaying evil vampires",tt0134847,tt0468492,tt0116367,tt0363547,https://www.youtube.com/embed/O2Y3FFFIvRI,https://Trailers.to/player/embed/imdb/tt0120611
83,tt4160708,Don't Breathe: La Maison des ténèbres,Crime,254927,2016.0,88.0,7.1,https://m.media-amazon.com/images/M/MV5BZGI5ZTU2M2YtZWY4MC00ZDFhLTliYTItZTk1NjdlN2NkMzg2XkEyXkFqcGdeQXVyMjY5ODI4NDk@.jpg,"['United States', 'Hungary']","Hoping to walk away with a massive fortune, a trio of thieves break into the house of a blind man who isn't as helpless as he seems.",tt1029234,tt8332922,tt0440803,tt0435625,https://www.youtube.com/embed/76yBTNDB6vU,https://Trailers.to/player/embed/imdb/tt4160708
84,tt0134847,Pitch Black,Action,232466,2000.0,109.0,7.1,https://m.media-amazon.com/images/M/MV5BNTNmYzE1OWYtZDdjNC00OTdhLTg1YjUtYWJlZTVkMzkzNmVkXkEyXkFqcGdeQXVyMTQxNzMzNDI@.jpg,"['United States', 'Australia']","A commercial transport ship and its crew are marooned on a planet full of bloodthirsty creatures that only come out to feast at night. But then, they learn that a month-long eclipse is about to occur",tt0116367,tt0120611,tt0468492,tt0363547,https://www.youtube.com/embed/4n36ennMDs8,https://Trailers.to/player/embed/imdb/tt0134847
85,tt1051906,The Invisible Man,Drama,197749,2020.0,124.0,7.1,https://m.media-amazon.com/images/M/MV5BZjFhM2I4ZDYtZWMwNC00NTYzLWE3MDgtNjgxYmM3ZWMxYmVmXkEyXkFqcGdeQXVyMTkxNjUyNQ@@.jpg,"['Australia', 'United States']","When Cecilia's abusive ex takes his own life and leaves her his fortune, she suspects his death was a hoax. As a series of coincidences turn lethal, Cecilia works to prove that she is being hunted by someone nobody can see.",tt2494362,tt10530176,tt11948256,tt7784604,https://www.youtube.com/embed/aNLDY22_nlc,https://Trailers.to/player/embed/imdb/tt1051906
