,tconst,title,genre1,numVotes,startYear,runtimeMinutes,averageRating,url,pays_prod,sypnosis,reco1,reco2,reco3,reco4,trailer_embed_url,complete_movie_embed_url
737,tt11268742,The Ultimate Playlist of Noise,Comedy,825,2021.0,99.0,6.6,https://m.media-amazon.com/images/M/MV5BODBjN2ZkYmYtMDA4NS00YmY5LWI1NDktODZmMDM2ZTllZmEzXkEyXkFqcGdeQXVyMDM2NDM2MQ@@.jpg,['United States'],"Marcus, an audio-obsessed high school senior, learns he must undergo brain surgery that will render him deaf, and decides to seize control of his fate by recording the Ultimate Playlist of Noise.']",tt9789042,tt14599938,tt11698630,tt11991786,https://www.youtube.com/embed/Zi6jogV6pLg,https://Trailers.to/player/embed/imdb/tt11268742
738,tt5862338,Uppity: The Willy T. Ribbs Story,Documentary,816,2020.0,109.0,6.8,https://m.media-amazon.com/images/M/MV5BMDM5Mzk1NmEtZmFmNS00MjA4LThiYzItYjk0MzhlMDQwZTUzXkEyXkFqcGdeQXVyMjg1NjIxODQ@.jpg,['United States'],An in-depth profile of the life and career of Willy T. Ribbs - the controversial Black driver who shattered the color barrier of professional auto-racing and became the first Black qualifier in the storied history of the Indy 500.'],tt10306228,tt12762002,tt12801356,tt11393026,https://www.youtube.com/embed/XKwfDjfO9Pw,https://Trailers.to/player/embed/imdb/tt5862338
739,tt12789110,Le sorelle Macaluso,Drama,810,2020.0,89.0,6.2,https://m.media-amazon.com/images/M/MV5BYmUzMGM4NzQtYTUzYy00M2RhLWFjY2MtNGY4MGMyNjM0ZmQzXkEyXkFqcGdeQXVyMzIwNDY4NDI@.jpg,['Italy'],"Maria, Pinuccia, Lia, Katia and Antonella are five sisters who live in an apartment in Palermo. When Antonella accidentally dies, the sisters' relationships are turned upside down for the rest of their lives.""]",tt6763778,tt11018402,tt8305852,tt6187134,https://www.youtube.com/embed/7PoxA4ql4pM,https://Trailers.to/player/embed/imdb/tt12789110
740,tt11018402,Filles de joie,Drama,806,2020.0,91.0,6.2,https://m.media-amazon.com/images/M/MV5BMGVjZGVhYmMtOGUyMi00YTMzLTlhNmQtNWZmYzY2NzkzODJmXkEyXkFqcGdeQXVyMjIxNzQ2ODE@.jpg,"['Belgium', 'France']","Everyday, three sex workers cross the border from France into Belgium to practice their trade. At the end of one particularly hot summer, all three share a secret that will bind them together forever.']",tt6763778,tt12789110,tt9850050,tt8305852,https://www.youtube.com/embed/WcyzYKg4qCc,https://Trailers.to/player/embed/imdb/tt11018402
741,tt10443794,The United Way,Documentary,809,2021.0,90.0,7.3,https://m.media-amazon.com/images/M/MV5BZjE2MmFjZDktYjAxNC00MWVhLTgzN2YtYTE1YzBiMmY2ZmE3XkEyXkFqcGdeQXVyMjg5NDIxMjE@.jpg,['United Kingdom'],"The history of Manchester United, using unseen footage.']",tt14450630,tt15010478,tt12706768,tt13622146,https://www.youtube.com/embed/AdMjrS5m9m4,https://Trailers.to/player/embed/imdb/tt10443794
742,tt9082806,A Father's Legacy,Drama,805,2020.0,90.0,6.9,https://m.media-amazon.com/images/M/MV5BNWEzMzQ5MGItNDQ1Zi00MDY3LWFmYTgtNTdhMmI4Y2Y3OWVlXkEyXkFqcGdeQXVyMjMyMDY5MTg@.jpg,['United States'],A young man sets out to find the father he never knew,tt8326624,tt12573294,tt11380884,tt10702148,https://www.youtube.com/embed/uHAMA_ZzgKQ,https://Trailers.to/player/embed/imdb/tt9082806
743,tt13651628,Belle,Adventure,816,2021.0,121.0,7.3,https://m.media-amazon.com/images/M/MV5BYzA0YzRjOTMtY2RiNC00ZGFmLTg5YjItNGJmODY2YzM1N2I5XkEyXkFqcGdeQXVyNjc3MjQzNTI@.jpg,['Japan'],"Suzu is a shy high school student living in a rural village. For years, she has only been a shadow of herself. But when she enters ""U",tt9844322,tt7504818,tt5562070,tt9319874,https://www.youtube.com/embed/sz0nYdtUB20,https://Trailers.to/player/embed/imdb/tt13651628
744,tt10107222,Cocon,Drama,795,2020.0,99.0,6.5,https://m.media-amazon.com/images/M/MV5BM2JkMTYxNjctNjIyZS00NDdhLThmZDUtZTAzMDhhMzk0ZGFjXkEyXkFqcGdeQXVyMjAwMTE0OTk@.jpg,['Germany'],"Berlin-Kreuzberg is Nora's microcosm. Nora, the silent observer, is always tagging along: At parties, at school, at the pool, on rooftops and in apartments. Nora drifts around the monotonous housing blocks with her big sister and her friends, witnessing events that seem to cross-fade in the summer light. Girls who want to be slim and pretty, boys who say dumb things to provoke or because they are in love. Ruthless smartphone cameras and fragile teenagers. But Nora has her own way of looking at the world, and when she meets Romy, she realizes why. There is music in the air, Nora's body is changing, and caterpillars are spinning their cocoons. Realistic and taking on the protagonist's perspective, this film captures a summer of change.""]",tt11394158,tt10117768,tt12779208,tt10344522,https://www.youtube.com/embed/tE-PIuUsqbA,https://Trailers.to/player/embed/imdb/tt10107222
745,tt11753696,Petite fille,Documentary,793,2020.0,90.0,7.5,https://m.media-amazon.com/images/M/MV5BNGQyZDZmZDAtMzJhNS00ZjFlLTkzMjUtMTBkYjA4ZjU0MDM3XkEyXkFqcGdeQXVyNDU0NjMyNTQ@.jpg,"['France', 'Denmark']","The touching portrait of eight-year-old Sasha, who questions her gender and in doing so, evokes the sometimes disturbing reactions of a society that is still invested in a biological boy-girl way of thinking.']",tt11394180,tt11464016,tt11804758,tt11262098,https://www.youtube.com/embed/j8Ub9Atn6Qg,https://Trailers.to/player/embed/imdb/tt11753696
746,tt10381014,L'enfer sous terre,Drama,803,2021.0,96.0,6.3,https://m.media-amazon.com/images/M/MV5BYjA3NThjOWYtMmMzNC00MGQ5LTk3MjQtNjQ2YjFlNDJlYjNkXkEyXkFqcGdeQXVyMTg2MDM2NjI@.jpg,['United Kingdom'],"During World War I, a group of British miners are recruited to tunnel underneath no man's land and set bombs from below the German front in hopes of breaking the deadly stalemate of the Battle of Messines.""]",tt7598106,tt7740510,tt13067004,tt11102314,https://www.youtube.com/embed/j__6C_Lb2BQ,https://Trailers.to/player/embed/imdb/tt10381014
747,tt6763778,Holler,Drama,777,2020.0,90.0,6.2,https://m.media-amazon.com/images/M/MV5BNmU0ZTA3OTktMmI3MC00OWM1LWJmMzgtZDIyN2ZmNDk2YjYwXkEyXkFqcGdeQXVyMDM2NDM2MQ@@.jpg,['United States'],"To pay for her education, and the chance of a better life, a young woman joins a dangerous scrap metal crew",tt11018402,tt12789110,tt8305852,tt9850050,https://www.youtube.com/embed/4-CFpCQbIek,https://Trailers.to/player/embed/imdb/tt6763778
